Country,Diagnosed,Death,Healed
China,"59,805","1,367","5,956"
Japan,247,,10
Hong Kong,50,1,1
Singapore,50,,15
Thailand,33,,10
S. Korea,28,,7
Malaysia,18,,3
Taiwan,18,,1
Germany,16,,
Vietnam,15,,6
Australia,15,,5
USA,14,,3
France,11,,2
Macao,10,,2
U.K.,9,,1
U.A.E.,8,,1
Canada,7,,1
Philippines,3,1,2
Italy,3,,
India,3,,
Russia,2,,2
Spain,2,,
Nepal,1,,1
Sri Lanka,1,,1
Finland,1,,1
Cambodia,1,,1
Belgium,1,,
Sweden,1,,
